n1,n2,rounds,1D_MLE,1D_NPMLE,2D_NPMLE,1D_Proj,Welch
3,3,50,0.0941604741242568,0.0936017674190328,0.0904272324491693,0.092907676052233,0.0438618262489893
3,4,50,0.0920384374530516,0.0928355958263844,0.0916845009352624,0.0916450981886523,0.0854776622852781
3,5,50,0.0926519786354845,0.0934145290839223,0.0921611462470571,0.0918933118268133,0.128850220792213
3,6,50,0.0948317161289487,0.0892833268438979,0.0930573935568506,0.0881773558743014,0.183554711727286
3,7,50,0.0905865007125452,0.0909700663110373,0.0945203163237525,0.0895086694403288,0.223419859414016
4,4,50,0.0884353807464766,0.0884644885247025,0.0889957616222891,0.0877380503195831,0.0680952511288082
4,5,50,0.0924791269471544,0.0923504156254572,0.0884335006055977,0.0914739497670512,0.0892900195595783
4,6,50,0.0920126266537961,0.0919789557750181,0.0894683858043886,0.0914213368385319,0.111003981995721
4,7,50,0.0902016170441563,0.0899756116481703,0.0885799229507485,0.0899454325143124,0.125758144517006
5,5,50,0.083657682420704,0.0832126882317789,0.0910276726259856,0.0832547302924254,0.0713316665637274
5,6,50,0.0893456894277548,0.0890708911724349,0.0877208202956315,0.0888327869687478,0.086294858505887
5,7,50,0.0931662991840527,0.0934053130860067,0.0951540944613437,0.093043322616578,0.104463887253018
6,6,50,0.0895020571913445,0.0894771786098436,0.092306370221161,0.0892952145051111,0.0837070983963546
6,7,50,0.0892247078607698,0.0889769612145534,0.0905778585611852,0.0887032000079638,0.0875791753463592
7,7,50,0.0880359624845544,0.0880632381980941,0.086523429428057,0.0883979852883859,0.085254724590514
